regime,feature,launch_mean,control_mean,launch_median,control_median,cohens_d,n_launch,n_control
bull,ret_5,-0.04283752689224739,0.006803240719680951,-0.03354402388585509,0.001987314337026591,-0.7867040968386586,3514,410268
bull,rsi14,43.07688540108178,52.47628955444003,43.4704836292768,52.289913978339,-0.7837335549957846,3506,409556
bull,ret_10,-0.04889891520904115,0.013710823467133993,-0.037779491133384635,0.005656108597285048,-0.7275596139371265,3509,409877
bull,pct_above_sma50,-0.033498531004738034,0.02759221745922607,-0.022435435892583122,0.01690018777986424,-0.6101975865073397,3471,406797
bull,ret_20,-0.043056371239333535,0.027795445340311177,-0.033290653008962945,0.01387283236994219,-0.601153885193747,3505,409102
bull,rs_20,-0.05494553432746341,0.010338808563125747,-0.04640510332190484,-0.002677350947295154,-0.586782764956286,3505,409070
bull,higher_low_count_10,4.36980056980057,5.247921728185464,4.0,5.0,-0.5383401785066533,3510,409956
bull,atr_pct,0.04140441006790643,0.03529917615483399,0.03849138695797143,0.03338575262879452,0.4244919829987522,3507,409641
bull,dist_from_252d_high,-0.2417164542922922,-0.1826702213318934,-0.20441058751301655,-0.14975332011466175,-0.38670752792332747,3272,381884
bull,range_compression_20,0.1934020519201913,0.16560458385598623,0.1616108786610879,0.14631201385851622,0.23985479944538202,3505,409180
bull,pct_above_sma200,0.05798187893015442,0.10551839181119567,0.05501295485793478,0.07034473129023877,-0.19402594942963874,3371,395709
bull,vol_ratio_5_20,0.9437357609577308,1.0086296833332344,0.8651973832965881,0.9171130789332098,-0.14317091582582772,3505,409180
bull,narrow_range_count_10,5.091452991452991,4.959456624613373,5.0,5.0,0.06380957870350117,3510,409956
bull,adx14,25.35423883996594,25.837012505797322,23.356872633945954,23.700444068378587,-0.04695235080755418,3496,408645
bull,sma50_rising,0.5835917676910065,0.5968917115555079,1.0,1.0,-0.027044544218442344,3547,410644
bull,rs_50,-0.026377177298562222,inf,-0.033273708572231775,-0.0037942298104384764,,3469,406612
bear,rsi14,34.28779741795192,49.570859452233776,35.31730367569294,50.425413985734494,-1.131042705506827,1016,52699
bear,ret_10,-0.15020943266570702,0.013587683539991176,-0.10051345884549556,0.012928077674001281,-1.1272303034712288,1017,52759
bear,ret_5,-0.10126742924426974,0.008249049423440936,-0.07403825940718933,0.005546413183342702,-1.125655864703546,1017,52778
bear,higher_low_count_10,3.729596853490659,5.2716676458882175,4.0,5.0,-0.9453759749955658,1017,52763
bear,ret_20,-0.17255074376859378,0.01476514005304965,-0.11714104996837449,0.01935370100956657,-0.921500030621055,1013,52701
bear,pct_above_sma50,-0.17476593935687984,-0.023662344097164143,-0.12841182683361807,-0.011420955851342063,-0.8383351834788544,1010,52403
bear,rs_20,-0.06751519103483831,0.01667161142920439,-0.06398192851708984,0.003900802710921303,-0.6516239192143425,1013,52681
bear,pct_above_sma200,-0.24439324179517966,-0.12168968708877992,-0.24294614931250602,-0.12533035129907827,-0.5691328990511388,990,51102
bear,atr_pct,0.0748187264333433,0.05542478573563006,0.061323979871923555,0.048713548533936266,0.5510084954315837,1016,52748
bear,dist_from_252d_high,-0.4465059013889242,-0.354653689786201,-0.4449131513647643,-0.3413784856406759,-0.5006363930379363,977,50598
bear,range_compression_20,0.4457421409824336,0.2845964060505938,0.2730725408279529,0.21772379667116518,0.4895503334441014,1013,52709
bear,narrow_range_count_10,4.786627335299902,5.498663836400508,5.0,6.0,-0.28539940835739364,1017,52763
bear,sma50_rising,0.19155206286836934,0.3131357136092433,0.0,0.0,-0.2826388357464493,1018,52795
bear,adx14,30.76602434513086,27.486974780761038,26.54965260270916,24.704290454196236,0.24467188893089153,1012,52639
bear,vol_ratio_5_20,0.9920888703641215,1.0171069158102966,0.9378823534553815,0.9337674541045086,-0.05986200341664268,1013,52709
bear,rs_50,0.4237073046084076,0.2415411671794633,-0.07576484586429516,-0.016578153177790877,0.013516537040063399,1010,52375
transition,rsi14,38.278122841518076,48.991288103238496,38.328881808298256,48.54018284670996,-0.8831404423455498,1803,121179
transition,pct_above_sma50,-0.08091391726495054,-0.0005744295246590231,-0.07320508396072767,-0.006504779466705246,-0.7268875720156032,1796,120740
transition,higher_low_count_10,4.004434589800444,4.941641587995218,4.0,5.0,-0.5910389224967306,1804,121285
transition,dist_from_252d_high,-0.3410458699143303,-0.26269363484480024,-0.3264300030887935,-0.24259307813319353,-0.4807204587845436,1656,110059
