timeframe,threshold,direction,bb_bucket,n_events,ret_5,band_exit_5,full_reversion_5,adverse_excursion_5,ret_10,band_exit_10,full_reversion_10,adverse_excursion_10,ret_20,band_exit_20,full_reversion_20,adverse_excursion_20,ret_40,band_exit_40,full_reversion_40,adverse_excursion_40
15minute,1.5,above,above_upper,23082,0.011466818606792505,0.8711926846917966,0.18650088809946713,0.23021070567589447,0.029119105538892076,0.9478572037147482,0.38502172616511887,0.30316590257403336,0.04593795520312721,0.9830007390983001,0.6814486326681448,0.42869152153057477,,,,
15minute,1.5,above,below_lower,43,-0.2847156891743252,0.8372093023255814,0.20930232558139536,0.4590326293399397,0.04254692137383277,0.9069767441860465,0.37209302325581395,0.7621681314503104,-0.8640047287550399,0.9534883720930233,0.4418604651162791,0.9888098217592928,,,,
15minute,1.5,above,inside_bands,21359,-0.047366851536642746,0.7997668854671492,0.09821483344580087,0.3428490413177175,-0.053799748244510746,0.9002408299370137,0.25463134494257134,0.4623967112367956,-0.06661679545700379,0.9635833940276766,0.6067006554989075,0.6192861931739411,,,,
15minute,1.5,below,above_upper,37,-0.010365661914345634,0.6486486486486487,0.1891891891891892,0.3754906644597522,-0.5576972971859011,0.7297297297297297,0.2972972972972973,0.8362776952452021,-0.871169337926239,0.7837837837837838,0.40540540540540543,1.0855998362617678,,,,
15minute,1.5,below,below_lower,21062,0.06769844100851546,0.8287960833766042,0.1335212521326311,0.2324503877721283,0.1200144348735284,0.9268341109897746,0.29236573016976075,0.29738716605974397,0.23278905282607906,0.9759174311926605,0.5905963302752294,0.4072776294935576,,,,
15minute,1.5,below,inside_bands,30332,-0.008509857247661205,0.753810082063306,0.0815856888541531,0.3119081956349377,-0.011063821273619417,0.8571332390762809,0.2103952063556184,0.45375334988615246,-0.006805213168850189,0.9107379584622183,0.44233318603623506,0.6419895622687938,,,,
15minute,2.0,above,above_upper,10941,0.03170855117997612,0.8953127310365222,0.17728818571639804,0.24159484316835964,0.0597269877776805,0.9584816132858838,0.363582443653618,0.3106466328594222,-0.019023541781748504,0.9800412938747419,0.653819683413627,0.5086310466569698,,,,
15minute,2.0,above,below_lower,12,-0.034341135295461046,0.8333333333333334,0.0,0.3500416522327952,-0.26673306613803577,1.0,0.0,0.6519587658138383,-1.7322481310619782,1.0,0.08333333333333333,1.210863653051857,,,,
15minute,2.0,above,inside_bands,8444,-0.03644849340820727,0.8263425484588497,0.08373053701938354,0.3840379045173242,-0.06430819857023155,0.9134253450439147,0.22107904642409035,0.5220347891256358,0.026720390693207686,0.964622641509434,0.5448113207547169,0.6352801343767619,,,,
15minute,2.0,below,above_upper,16,0.319188920385456,0.75,0.125,0.22079026644445454,0.04145270032196674,0.875,0.25,0.6691581609361499,-0.3128590231323118,0.875,0.4375,0.942917289407418,,,,
15minute,2.0,below,below_lower,8761,0.16185568507267853,0.8524717789022966,0.12164266251459711,0.2441674328011848,0.20377630555024864,0.9315031258494156,0.26202772492525145,0.31575127820661314,0.39869254055685943,0.9761068165846802,0.5713281799016163,0.41474056986192065,,,,
15minute,2.0,below,inside_bands,11776,0.003629530052113687,0.7738438473071156,0.0610079575596817,0.34759345313971124,0.023439293866990486,0.8671179883945841,0.16982591876208897,0.5032103765926139,-0.24538307779976287,0.9052333804809052,0.3635077793493635,0.7725660817156242,,,,
15minute,3.0,above,above_upper,2885,0.2002548436576168,0.9264613450659962,0.1759899434318039,0.2628397964799379,0.3383631644660894,0.9717153284671532,0.34854014598540145,0.3161133099670004,0.4075887290305935,0.975,0.5875,0.5058750265688354,,,,
15minute,3.0,above,below_lower,1,0.3796674716700598,1.0,0.0,0.0,2.203696823332706,1.0,0.0,0.0,-2.4986067248746138,1.0,0.0,1.0762341998351133,,,,
15minute,3.0,above,inside_bands,1638,-0.012339640692137001,0.8402317880794702,0.06622516556291391,0.4781827469885876,0.005202653524042061,0.9010989010989011,0.18681318681318682,0.6556220975167454,0.289358929552573,0.9333333333333333,0.48333333333333334,0.8880697928039516,,,,
15minute,3.0,below,above_upper,3,-0.6035399110785841,1.0,0.0,0.25897320891481135,-2.54910660446305,1.0,0.0,1.3849250142193157,-4.243061719968796,1.0,0.3333333333333333,2.2835287946011573,,,,
15minute,3.0,below,below_lower,1706,0.3225101787316647,0.8626198083067093,0.134185303514377,0.35113707038394393,0.22147113304417218,0.9325657894736842,0.24835526315789475,0.4631451330246298,0.3169419362442021,0.9731182795698925,0.5268817204301075,0.5831317592714657,,,,
15minute,3.0,below,inside_bands,2106,0.06748953451910734,0.7711922811853894,0.055823569951757405,0.478139642258164,-0.09676029075580463,0.8505338078291815,0.13997627520759193,0.714099651634443,-0.7265168895254933,0.9285714285714286,0.20238095238095238,0.9377702322875859,,,,
15minute,4.0,above,above_upper,867,0.49313038894097955,0.9122807017543859,0.18796992481203006,0.25441683660877357,0.45542705373930603,0.9525691699604744,0.30434782608695654,0.32426585314280887,0.6764884739677506,0.9333333333333333,0.5777777777777777,0.4169844325365742,,,,
15minute,4.0,above,inside_bands,460,0.028012310210674633,0.8328445747800587,0.03519061583577713,0.500035674416035,0.12406179150203996,0.9315789473684211,0.14736842105263157,0.6940955104979374,-0.40398701826466776,1.0,0.25,0.6258726781284165,,,,
15minute,4.0,below,above_upper,1,-1.921250639199354,0.0,0.0,0.4124463392282509,0.15340784571554383,1.0,0.0,0.4856353102667388,2.7832566294104777,1.0,1.0,0.4856353102667388,,,,
15minute,4.0,below,below_lower,512,0.5927047750637363,0.889967637540453,0.13915857605177995,0.37202435313033416,0.5531883148866946,0.9345794392523364,0.22429906542056074,0.49582583543927644,-0.11697092028069671,0.9642857142857143,0.44642857142857145,0.5613514584979701,,,,
15minute,4.0,below,inside_bands,544,0.08330407298129723,0.7734806629834254,0.03867403314917127,0.5139397447166439,0.07059658549725799,0.8682926829268293,0.14146341463414633,0.7353501649128533,1.603362908900745,1.0,0.3684210526315789,0.13115805563182745,,,,
1minute,1.5,above,above_upper,73778,0.012292917128172764,0.6686514837435134,0.014232251422529528,0.1801160953891683,0.01079873292571147,0.7847613106293686,0.03599835533311593,0.24774658712397435,0.0025002173867180464,0.871651999587258,0.07954126682291897,0.3243641147863447,0.001130067656746742,0.9324308859352265,0.15881112364510275,0.40296534171174975
1minute,1.5,above,below_lower,205,-0.1059045802604518,0.797979797979798,0.14646464646464646,0.18796423266583842,-0.20244496137614654,0.8697916666666666,0.171875,0.2708564559828445,-0.13961681744064564,0.8870967741935484,0.1935483870967742,0.40222659129097915,-0.2389710882397592,0.9257142857142857,0.2742857142857143,0.6001014416193038
1minute,1.5,above,inside_bands,117099,0.01346280690689035,0.7038964668075519,0.006706603559390119,0.15347995426155595,0.010877714715354427,0.8117820061494586,0.021327035337106188,0.22672076212413123,0.0020183235805822817,0.8874645733890215,0.053428923031026254,0.3188301245472739,-0.008543250790234824,0.9395902946344238,0.11899127573353917,0.4242947357455928
1minute,1.5,below,above_upper,312,-0.005272270953211366,0.6535947712418301,0.013071895424836602,0.1681834255906559,0.00874374191786936,0.734006734006734,0.030303030303030304,0.23034338304957547,0.029343513268376326,0.8275862068965517,0.05517241379310345,0.3175948496523538,0.009698716531467005,0.8795180722891566,0.1285140562248996,0.4401237803926154
1minute,1.5,below,below_lower,72730,0.04673662506345475,0.6529078014184397,0.00801418439716312,0.12312484147416564,0.047086940544734106,0.7627923180769063,0.018420938030745113,0.17853203769004508,0.047788983269759194,0.8508068234209313,0.041954817888427844,0.2462185356935243,0.05251246273171369,0.9157175010230528,0.09354112672213886,0.3245566106875612
1minute,1.5,below,inside_bands,149484,0.015930902244042876,0.6811373966376431,0.004196100980231094,0.12306110034255933,0.012097779124873595,0.7871997871997872,0.013055013055013056,0.18477944143053737,0.00040265391369272364,0.8653661186939698,0.03455238291030037,0.26708080906193093,-0.007593601281391509,0.9215196121358799,0.08184792733120506,0.3662620624489997
1minute,2.0,above,above_upper,34722,0.010548569202701204,0.6880962256325176,0.010369141435089175,0.21684415791317746,0.014847618755195168,0.8027746645260958,0.027928391845636568,0.29241011446569054,0.007953805815519544,0.8852495543672014,0.06751336898395723,0.37732373656125245,0.013154183755993561,0.9435379061371841,0.13855595667870035,0.45414431962570234
1minute,2.0,above,below_lower,77,-0.20678881443129746,0.8552631578947368,0.13157894736842105,0.22162613833868697,-0.3316754269793214,0.9078947368421053,0.13157894736842105,0.3226465359635006,-0.10867343166743909,0.9166666666666666,0.16666666666666666,0.40499511759566265,-0.09770521965469525,0.9333333333333333,0.4,0.4789696757470923
1minute,2.0,above,inside_bands,49583,0.01637562038724369,0.7156465677563334,0.003988097698061743,0.1816688714902312,0.015455872652502204,0.8229133608378293,0.014831270496138792,0.2667764515809254,0.015812625751639244,0.8986598538837345,0.042042042042042045,0.36721385554882946,0.013451729702797252,0.948495943004156,0.09999010488818523,0.48097606338611487
1minute,2.0,below,above_upper,92,-0.0019834011758121067,0.6483516483516484,0.0,0.20870158524318377,0.0036173440685302594,0.7159090909090909,0.022727272727272728,0.31242296764335326,0.05882597026180499,0.8292682926829268,0.024390243902439025,0.37376310786472083,-0.06276885940547294,0.863013698630137,0.0821917808219178,0.5809902584750158
