timeframe,threshold,direction,vol_bucket,n_events,ret_5,band_exit_5,full_reversion_5,adverse_excursion_5,ret_10,band_exit_10,full_reversion_10,adverse_excursion_10,ret_20,band_exit_20,full_reversion_20,adverse_excursion_20,ret_40,band_exit_40,full_reversion_40,adverse_excursion_40
15minute,1.5,above,high(>1.5x),23789,-0.0074306860972233576,0.8666621336778405,0.20384850751342898,0.26097379495303064,0.016031291635721284,0.9423043402475161,0.4023008541049329,0.34452254622326156,0.03924656931828705,0.978759765625,0.682373046875,0.46672003162595554,,,,
15minute,1.5,above,low(<0.8x),9848,-0.019406797555831353,0.7948568088836937,0.07270601987142022,0.32464054236874523,-0.029956523738676646,0.9,0.21522556390977443,0.4332938422902216,-0.03821592701118508,0.9633251833740831,0.5990220048899756,0.5338264226816667,,,,
15minute,1.5,above,normal(0.8-1.5x),10847,-0.04041463942647053,0.8173367137510564,0.099601593625498,0.3009190052181775,-0.04527775106488988,0.9136976824628157,0.2634036665513663,0.4020912117479344,-0.08997787330883363,0.9804123711340206,0.5958762886597938,0.5183890670508847,,,,
15minute,1.5,below,high(>1.5x),16811,0.039527974764465776,0.8109987357774968,0.15764854614412135,0.2828975459294506,0.08711017217206726,0.9019284654689302,0.3205867809461019,0.3794592380891406,0.20137339760385733,0.9506933744221879,0.5617873651771957,0.49915569800191384,,,,
15minute,1.5,below,low(<0.8x),20563,0.01299657467924497,0.7632588209511286,0.07675871137409598,0.28946749245413084,0.025855857713657004,0.8724102209944752,0.20174378453038674,0.4090468487111232,0.13264010033290694,0.9549689440993789,0.5031055900621118,0.4753700443385029,,,,
15minute,1.5,below,normal(0.8-1.5x),14057,0.0160189535035696,0.7906036391643401,0.09993260806777703,0.27053376578748156,0.026795404100816368,0.8911378555798687,0.24603391684901532,0.372749427153505,0.06724479688012444,0.9543958627174424,0.5265632346027268,0.4873921865649624,,,,
15minute,2.0,above,high(>1.5x),11833,0.015601515697645108,0.8908625834872815,0.18630098053147648,0.2755792191520259,0.034685420219493834,0.9538084464555053,0.3766968325791855,0.3629357472055887,-0.06762060384592285,0.9785809906291834,0.6365461847389559,0.5540094506304465,,,,
15minute,2.0,above,low(<0.8x),3312,0.002137692666635115,0.8188838188838189,0.061074061074061076,0.3650237506902685,-0.03786016741758068,0.9002403846153846,0.16947115384615385,0.49776698250963897,0.24951866085495883,0.9545454545454546,0.5272727272727272,0.4743247034065032,,,,
15minute,2.0,above,normal(0.8-1.5x),4252,-0.04123535402959337,0.8369462770970783,0.07571473452717561,0.338057607388334,-0.03753809974981422,0.9310014374700527,0.21082894106372785,0.4341578087129374,0.12799786429494378,0.9754385964912281,0.6070175438596491,0.5019797017134875,,,,
15minute,2.0,below,high(>1.5x),7502,0.08295823330148691,0.8418879056047197,0.13805309734513274,0.3046764136755171,0.09904992956247968,0.9069298952457695,0.2808219178082192,0.41909738307481126,0.25706623442196674,0.9464285714285714,0.5340136054421769,0.561590828474567,,,,
15minute,2.0,below,low(<0.8x),7397,0.04137488245649374,0.7751091703056768,0.05723643169058016,0.31613323374157626,0.09455666308786796,0.8809332260659695,0.16331456154465004,0.43710827753366677,0.11453478786304945,0.9607250755287009,0.42900302114803623,0.5287348218180914,,,,
15minute,2.0,below,normal(0.8-1.5x),5654,0.07995750199065099,0.8148148148148148,0.07979120059656973,0.30130460081010313,0.1028989068530983,0.8997739261492087,0.20346646571213264,0.415891732617256,0.07609858900619616,0.9577464788732394,0.48043818466353677,0.49456132552284654,,,,
15minute,3.0,above,high(>1.5x),3246,0.11354187456099585,0.9084390512961942,0.1709873138444567,0.3197248727542644,0.23086971338921825,0.9511426319936959,0.34278959810874704,0.4002772156341178,0.3211232560779883,0.9727626459143969,0.5758754863813229,0.5568827804049862,,,,
15minute,3.0,above,low(<0.8x),581,0.07086934053470478,0.837160751565762,0.04384133611691023,0.4511294493605908,0.16662221475196795,0.9140625,0.12109375,0.5964610406044236,0.438082275162463,0.8823529411764706,0.4117647058823529,1.0649275683047623,,,,
15minute,3.0,above,normal(0.8-1.5x),697,0.12653741157407053,0.8700787401574803,0.05708661417322835,0.3938399094775406,0.13736101192082523,0.9366666666666666,0.17333333333333334,0.5436908722719838,0.8410425379932347,0.9629629629629629,0.5555555555555556,0.5388068488640857,,,,
15minute,3.0,below,high(>1.5x),1568,0.2970719736339383,0.8642765685019206,0.15492957746478872,0.3979268941054197,0.13674140644079066,0.9212007504690432,0.2851782363977486,0.556479530126379,0.038849616149296974,0.9540816326530612,0.4846938775510204,0.7182625558774471,,,,
15minute,3.0,below,low(<0.8x),1194,-0.0016142103439443513,0.7601668404588112,0.03336809176225235,0.4641326623304148,-0.13506966204974796,0.8537549407114624,0.08893280632411067,0.6705828520608557,0.05730869748064209,0.9090909090909091,0.4090909090909091,0.6758046739861244,,,,
15minute,3.0,below,normal(0.8-1.5x),1053,0.2580223108648682,0.8085758039816233,0.08269525267993874,0.4110124382276619,0.09855489960133805,0.8771084337349397,0.17349397590361446,0.6067819507212416,-0.43055854269931937,1.0,0.21818181818181817,0.6988841698323442,,,,
15minute,4.0,above,high(>1.5x),1000,0.3676734212721384,0.9036144578313253,0.15461847389558234,0.29391664844003196,0.42290159972676317,0.9424920127795527,0.28753993610223644,0.39276387423925446,0.5946068200623119,0.9347826086956522,0.5652173913043478,0.3806362998638047,,,,
15minute,4.0,above,low(<0.8x),139,0.17729360894491586,0.7657657657657657,0.05405405405405406,0.5563971869591083,0.21520352849626265,0.94,0.16,0.7508306852732357,1.9581530382697558,1.0,0.25,0.4926199744439479,,,,
15minute,4.0,above,normal(0.8-1.5x),188,0.02694861513649087,0.8625954198473282,0.030534351145038167,0.4877397260089442,-0.05416990197322476,0.95,0.0875,0.6680097617398787,-2.658146897837981,1.0,0.3333333333333333,1.4305103992207882,,,,
15minute,4.0,below,high(>1.5x),480,0.518134210915991,0.8847583643122676,0.15985130111524162,0.44718011525149276,0.4275144037153044,0.9,0.255,0.5762532104590189,0.7170564247779179,0.9833333333333333,0.48333333333333334,0.44148833561706624,,,,
15minute,4.0,below,low(<0.8x),303,0.1118735679571734,0.7866108786610879,0.016736401673640166,0.42645164943267755,0.1625854253506147,0.905982905982906,0.06837606837606838,0.6477704405183329,0.24905037519651896,1.0,0.5,0.2853675362811871,,,,
15minute,4.0,below,normal(0.8-1.5x),274,0.27600435241804105,0.7865853658536586,0.06097560975609756,0.4829314867491778,0.2765304053332356,0.9029126213592233,0.17475728155339806,0.6436831482423115,-1.7820907375048567,0.9,0.1,0.6211814688446688,,,,
1minute,1.5,above,high(>1.5x),84365,0.005141746080892189,0.6629003472892148,0.013951861856067914,0.18059981399067115,0.004811494057036609,0.7808479819306687,0.03701021310026515,0.2495342428253437,-0.00018496899745950015,0.8687366771964969,0.08218404088656034,0.3290202399841181,0.0004448995575580458,0.9306852802769155,0.1632314447956746,0.4099353544708231
1minute,1.5,above,low(<0.8x),61972,0.021287529296672755,0.7207293825113966,0.005602983837546622,0.14311642282182582,0.018109952966509833,0.8229452920846329,0.01530810081766838,0.2156449647128425,0.004853918245628319,0.893752707737631,0.040932328221124685,0.3092623633215087,-0.00786428723824565,0.9424975366710666,0.09669263232259384,0.4171801461483152
1minute,1.5,above,normal(0.8-1.5x),44745,0.016007855223637246,0.7008860584244774,0.00749919239466519,0.16034670818931795,0.011320661628141071,0.8109089183610525,0.024721820209257634,0.23359945551879832,0.0023783909127515048,0.8880382775119617,0.06046335935532612,0.32259478631122823,-0.011688491306296263,0.9403063627046342,0.1347608099498629,0.42741667728656835
1minute,1.5,below,high(>1.5x),80597,0.03875892180550843,0.6365930359361923,0.007671628921407015,0.12564907531298852,0.038081672272326915,0.747546368103437,0.018117122635976174,0.18231561182991773,0.03475295734414938,0.8376704187932602,0.040411102565895266,0.2531948979699928,0.03236065405950328,0.9046566668234041,0.08681682105296155,0.3375344904962783
