strategy_variant,timeframe,threshold,direction,target_pct,stop_pct,n_trades,win_rate_pct,avg_pnl_pct,avg_win_pct,avg_loss_pct,total_pnl_pct,profit_factor,expectancy_pct,sharpe_like,max_drawdown_pct,avg_bars_held,tp_rate_pct,sl_rate_pct,eod_rate_pct
baseline,15minute,1.5,above,1.0,0.5,41548.0,35.03417733705593,-0.014898593894620572,0.8511912661224774,-0.4819556479257734,-619.0067791336955,0.9524168415531501,-0.014898593894620572,-0.02248633589518216,-757.7866486806121,2.6160344661596224,26.889380956965436,61.581784923462024,11.528834119572542
baseline,15minute,1.5,above,1.5,0.5,41005.0,30.871844896963786,-0.005115643358967067,1.0614151157509968,-0.48141610478467206,-209.76695593444458,0.9846282016555413,-0.005115643358967067,-0.006592936823965768,-562.7965649516668,3.341787586879649,16.975978539202536,65.41885135959029,17.60517010120717
baseline,15minute,1.5,below,1.0,0.5,46095.0,32.96236034277037,-0.049729564253728355,0.8304643751346057,-0.4825203061412513,-2292.2842642756086,0.8462623124230753,-0.049729564253728355,-0.07702311702887857,-2337.2463783126855,3.003427703655494,24.427812127128757,63.66851068445602,11.90367718841523
baseline,15minute,1.5,below,1.5,0.5,45436.0,28.95941544150013,-0.04640809746666639,1.0202755710443048,-0.481237507909301,-2108.598316495454,0.8642537724911535,-0.04640809746666639,-0.062079783797718446,-2181.465911260234,3.6607315784840213,15.342459723567215,67.21542389294832,17.442116383484464
baseline,15minute,2.0,above,1.0,0.5,18743.0,33.9966920983834,-0.019014253593021654,0.8892343729211978,-0.4868309416658214,-356.3841550940049,0.9408253896273245,-0.019014253593021654,-0.028306611144955997,-408.37714929862653,2.0532465453769406,28.074481139625462,63.5330523395401,8.392466520834445
baseline,15minute,2.0,above,1.5,0.5,18542.0,29.764858159853308,0.0051094958283336555,1.16388603221591,-0.4859668847539464,94.74027164896265,1.014969831396146,0.0051094958283336555,0.006345548313104413,-194.1395054976507,2.5998813504476326,19.453133426814798,67.44687735950814,13.099989213677057
baseline,15minute,2.0,below,1.0,0.5,19144.0,32.36000835770999,-0.049010415430091235,0.867697827305099,-0.48757768423420766,-938.2553929936666,0.8513924007701307,-0.049010415430091235,-0.07470588839154085,-1020.7236799660149,2.410468031759298,25.58503969912244,65.2475971583786,9.167363142498955
baseline,15minute,2.0,below,1.5,0.5,18890.0,28.014822657490733,-0.043278428051733174,1.0963678143308273,-0.48680011614472546,-817.5295058972397,0.8764969377710082,-0.043278428051733174,-0.05638399278092491,-928.0680767256271,2.979565907887771,16.707252514557965,69.24827951296983,14.044467972472209
baseline,15minute,3.0,above,1.0,0.5,4488.0,31.75133689839572,-0.0331895822027534,0.9511209905027371,-0.49112055383361336,-148.95484492595725,0.9009807741143836,-0.0331895822027534,-0.04874181168653072,-167.62245004860893,1.4681372549019607,29.144385026737968,66.82263814616756,4.032976827094474
baseline,15minute,3.0,above,1.5,0.5,4454.0,27.88504714863044,0.014264725090923998,1.31972411678923,-0.4905237445508244,63.53508555497549,1.0403253409056945,0.014264725090923998,0.01698996256327206,-39.103268339306865,1.7725639874270318,22.317018410417603,70.45352492141895,7.229456668163449
