timeframe,filter_layer,direction,target_pct,stop_pct,n_trades,win_rate_pct,avg_pnl_pct,avg_win_pct,avg_loss_pct,total_pnl_pct,profit_factor,expectancy_pct,sharpe_like,max_drawdown_pct,avg_bars_held,tp_rate_pct,sl_rate_pct,eod_rate_pct
1minute,+slope+sector,above,1.0,0.5,137626.0,44.740819321930445,0.03716788360245532,0.6220967977052361,-0.43642217945889467,5115.267148671516,1.1541191400904438,0.03716788360245532,0.06274420668262697,-299.4411755007502,75.20879775623791,19.608940171188582,45.14190632583959,35.24915350297182
1minute,+slope+sector,above,1.5,0.5,134701.0,42.935835665659496,0.04164869779408814,0.6774832683115091,-0.4367616837253749,5610.121241561466,1.1671065349198606,0.04164869779408814,0.06328434163224854,-345.83182076649564,85.23763001017068,9.53073845034558,46.684879844990014,43.784381704664405
1minute,+slope+sector,below,1.0,0.5,128788.0,40.27083268627512,-0.012588426739615646,0.6038244226283369,-0.42818870779129636,-1621.2383029416198,0.9507790732342869,-0.012588426739615646,-0.021938403827944167,-1747.2439800402499,76.85165543373606,17.569959934155357,47.28934372767649,35.140696338168155
1minute,+slope+sector,below,1.5,0.5,126762.0,38.429497799024944,-0.010316317219727712,0.6594817626608283,-0.4283737134797395,-1307.7170034071241,0.9608862749234429,-0.010316317219727712,-0.01617170664505383,-1465.7952350839337,85.24828418611256,9.210962275760874,48.78039160000631,42.00864612423281
1minute,+slope_flat,above,1.0,0.5,270030.0,43.656260415509394,0.03098443486211323,0.6422881683160772,-0.44266596849140183,8366.726945816436,1.1242286528822387,0.03098443486211323,0.05162835668842447,-829.6951944807038,78.36824426915528,20.20331074325075,46.998111320964334,32.79857793578491
1minute,+slope_flat,above,1.5,0.5,258433.0,41.60923721041818,0.03488499150733918,0.7066085500816404,-0.4437849821880754,9015.433010216188,1.1346238081355058,0.03488499150733918,0.05213255838811435,-970.6554399379215,90.10378705505876,9.946872109985954,48.905519032012165,41.14760885800188
1minute,+slope_flat,below,1.0,0.5,266475.0,39.62773243268599,-0.015399586749562112,0.6272362202053168,-0.43721908824959826,-4103.604879089564,0.9416591887002747,-0.015399586749562112,-0.026387851230574168,-4338.787541046909,79.91180410920349,18.226100009381742,49.35697532601557,32.41692466460268
1minute,+slope_flat,below,1.5,0.5,257853.0,37.62298674050719,-0.012988061547788879,0.6916699797110586,-0.4380058486704959,-3349.010634282006,0.952462115368137,-0.012988061547788879,-0.019960554998596537,-3611.329855371746,89.654085855119,9.562037284809561,51.134948982559834,39.30301373263061
1minute,zscore_only,above,1.0,0.5,407689.0,41.809320339768796,0.02360721558916952,0.6869878206362741,-0.45302396290107044,9624.402116332933,1.0895509426198915,0.02360721558916952,0.038236045129612144,-1306.2203876821436,68.81364716732608,21.995197319525424,50.291521233096795,27.71328144737778
1minute,zscore_only,above,1.5,0.5,385427.0,39.09456265388776,0.026998321227503175,0.7774864379744327,-0.4547321445505892,10405.881955752866,1.0974821365218184,0.026998321227503175,0.03870415302621203,-1539.933820133645,81.88243428716721,11.56587369333233,52.9511424990984,35.48298380756927
1minute,zscore_only,below,1.0,0.5,385273.0,39.05464436905778,-0.013783919028489761,0.6606694252146775,-0.4459831445518436,-5310.571835863336,0.9492876597874467,-0.013783919028489761,-0.023043697656035058,-5624.902478221678,72.82192627046277,19.700316399020952,51.44663654084247,28.85304706013658
1minute,zscore_only,below,1.5,0.5,369848.0,36.57583655988406,-0.011936830490170063,0.7428195218783027,-0.44719436467630896,-4414.8128831284175,0.9579139703405252,-0.011936830490170063,-0.017731697766139354,-4977.815563731806,83.56540524756116,10.764962903679349,53.7610045207761,35.47403257554455
5minute,+slope+sector,above,1.0,0.5,57004.0,44.20391551470072,0.028847178278542968,0.620331870850199,-0.43975092533148624,1644.4045505900633,1.1175690078752831,0.028847178278542968,0.048840365965158,-151.1723163425762,13.950108764297243,18.89341098870255,46.173952705073326,34.932636306224126
5minute,+slope+sector,above,1.5,0.5,56592.0,42.585524455753465,0.03421946712815204,0.6734154130139537,-0.4398856139948265,1936.5480837163805,1.1354915094859808,0.03421946712815204,0.05230185828725423,-170.36340698273546,15.671879417585524,9.15323720667232,47.5137828668363,43.332979926491376
5minute,+slope+sector,below,1.0,0.5,47211.0,39.444197326894155,-0.02551215616036371,0.5985766144653256,-0.4320244891063075,-1204.454404486931,0.9024823933065604,-0.02551215616036371,-0.044783740536105995,-1246.538807893054,14.500052953760775,16.69949799834784,48.64544279934761,34.65505920230455
5minute,+slope+sector,below,1.5,0.5,46974.0,37.74002639758164,-0.023465604824248688,0.649611842920851,-0.43146386077805865,-1102.2733210142578,0.9126468852707729,-0.023465604824248688,-0.0372615068724747,-1155.1809324072228,15.957146506578107,8.636692638480861,49.91697534806489,41.44633201345425
5minute,+slope_flat,above,1.0,0.5,126523.0,43.63870600602262,0.02013883597186503,0.6115961126564928,-0.43780718306597477,2548.025943668279,1.081615101758423,0.02013883597186503,0.03441760297580635,-528.9085156122958,14.470728642223152,18.24648482884535,46.2856555725046,35.46785959865005
5minute,+slope_flat,above,1.5,0.5,124768.0,42.010771992818675,0.023564907551268503,0.6609571007668017,-0.4381990962023995,2940.1463853566684,1.0927356959732208,0.023564907551268503,0.036517098946372575,-549.9221713800323,16.23389811490126,8.654462682739164,47.68690689920492,43.65863041805591
5minute,+slope_flat,below,1.0,0.5,114859.0,39.573738235575796,-0.025697464713122096,0.5943677019550733,-0.43178408794972106,-2951.585099484491,0.9015086893090904,-0.025697464713122096,-0.04527000211122243,-3034.134215106681,14.877467155381815,16.415779346851355,48.448967864947456,35.135252788201186
5minute,+slope_flat,below,1.5,0.5,113728.0,37.93788688801351,-0.024393421692447858,0.6416584366970692,-0.4315435942870769,-2774.21506223871,0.908920321151086,-0.024393421692447858,-0.039033510228746605,-2880.6710933839076,16.352472566122678,8.232801069217782,49.708075407991,42.05912352279122
5minute,zscore_only,above,1.0,0.5,172754.0,42.236359215995,0.016877365413011634,0.6513260884391934,-0.4470269835192891,2915.632384559412,1.0653606490154717,0.016877365413011634,0.02803698255760672,-591.8239019478356,13.24145316461558,20.068999849496972,48.948794239207196,30.98220591129583
5minute,zscore_only,above,1.5,0.5,169692.0,40.14096127100865,0.021147742718957706,0.7198681801311871,-0.4474082283251022,3588.6027574653713,1.0789642132954729,0.021147742718957706,0.03145115815232793,-639.4649917970205,15.247106522405298,10.179030243028546,50.79614831577211,39.02482144119935
5minute,zscore_only,below,1.0,0.5,148525.0,38.94091903719912,-0.026261785462546646,0.6208872286213107,-0.43898626419808,-3900.5316858247406,0.9020232443105246,-0.026261785462546646,-0.045329782028198,-4006.929511189218,13.907416259888908,17.547887561016665,50.27571115973741,32.17640127924592
5minute,zscore_only,below,1.5,0.5,146790.0,37.02977042032836,-0.023972225601122197,0.6815895984975807,-0.43887927831667156,-3518.882995988727,0.913258285222057,-0.023972225601122197,-0.03723619249237358,-3666.990347209875,15.507984195108659,9.203624225083452,51.82301246678929,38.973363308127254
