timeframe,threshold,direction,target_pct,stop_pct,n_trades,win_rate_pct,avg_pnl_pct,avg_win_pct,avg_loss_pct,total_pnl_pct,profit_factor,expectancy_pct,sharpe_like,max_drawdown_pct,avg_bars_held,tp_rate_pct,sl_rate_pct,eod_rate_pct
1minute,3.0,above,0.5,0.3,17186.0,39.055044803910164,0.011789807134089742,0.49552803994355843,-0.29820169741213465,202.6196254064663,1.0648722300267437,0.011789807134089742,0.030354395762364973,-26.337486496035268,4.0943791458163625,38.47317584080065,60.46782264634004,1.059001512859304
1minute,3.0,above,0.7,0.4,15684.0,38.11527671512369,0.015424833390997296,0.6836480990665129,-0.3961390118808173,241.9230869044016,1.0629201014889662,0.015424833390997296,0.02921354766106924,-32.48637475679365,6.583142055598062,36.63606222902321,61.04947717419026,2.3144605967865344
1minute,3.0,above,1.0,0.5,14325.0,35.909249563699824,0.023504583804334112,0.9448576678907753,-0.4927180787096245,336.70316299708617,1.0744318324643407,0.023504583804334112,0.03356549370752377,-50.13660177561903,10.778568935427574,32.64921465968587,62.75043630017451,4.600349040139616
1minute,3.0,below,0.5,0.3,13178.0,38.80710274700258,0.007300654426055688,0.48809069192389787,-0.2976051307629281,96.20802402656186,1.0400885512439089,0.007300654426055688,0.018943090841782327,-54.75727155860365,6.170359690393079,37.259068143876156,60.52511762027621,2.215814235847625
1minute,3.0,below,0.7,0.4,11690.0,38.460222412318224,0.012808460434836317,0.6640402755253378,-0.3941887929216962,149.73090248323655,1.0528003420472933,0.012808460434836317,0.024531614182170296,-60.837091344762115,9.980068434559453,35.25235243798118,60.282292557741656,4.46535500427716
1minute,3.0,below,1.0,0.5,10463.0,36.27066806843162,0.0148322696353764,0.8985443247125808,-0.48812022721795156,155.19003719494327,1.047680570300742,0.0148322696353764,0.02162548791225902,-78.14474812605746,15.721016916754277,30.478830163433052,61.59801204243524,7.923157794131702
1minute,4.0,above,0.5,0.3,5574.0,39.23573735199139,0.014517335885854932,0.4982021456359739,-0.2977999593380926,80.91963022775539,1.080225800419099,0.014517335885854932,0.03727747132043334,-27.061366324717852,2.8916397560100466,38.984571223537856,60.20810907786151,0.8073196986006458
1minute,4.0,above,0.7,0.4,5202.0,39.38869665513264,0.032650506400885966,0.6920987926573658,-0.3958967624032775,169.84793429740878,1.1360674821244199,0.032650506400885966,0.06116711068827337,-20.53703768585858,4.423106497500961,38.54286812764322,59.80392156862745,1.6532103037293349
1minute,4.0,above,1.0,0.5,4805.0,36.25390218522372,0.036537402875209644,0.9687784165064945,-0.4936499447401017,175.56222081538235,1.1161087571664376,0.036537402875209644,0.051500489476288096,-47.80650317370278,7.079916753381894,34.33922996878252,62.58064516129033,3.0801248699271593
1minute,4.0,below,0.5,0.3,3880.0,40.36082474226804,0.02092066541024781,0.4934057124210692,-0.2988336922470323,81.1721817917615,1.1173854593948862,0.02092066541024781,0.0536196178262026,-28.586166632406957,4.193298969072165,39.51030927835051,59.381443298969074,1.1082474226804124
1minute,4.0,below,0.7,0.4,3512.0,39.094533029612755,0.022581122254754137,0.6773327030141586,-0.39769654038323665,79.30490135869653,1.0932260818111257,0.022581122254754137,0.04267506480840955,-36.80257391832849,6.681378132118451,37.04441913439636,60.42141230068337,2.5341685649202734
1minute,4.0,below,1.0,0.5,3177.0,38.11772112055398,0.051975973173959696,0.9373995804918658,-0.4934197483224718,165.12766677366994,1.1702236127333745,0.051975973173959696,0.07347606019316683,-38.47050774619005,10.403210576015109,34.34057286748505,60.68618193264086,4.9732451998740945
