timeframe,threshold,direction,adx_bucket,n_events,ret_5,band_exit_5,full_reversion_5,adverse_excursion_5,ret_10,band_exit_10,full_reversion_10,adverse_excursion_10,ret_20,band_exit_20,full_reversion_20,adverse_excursion_20,ret_40,band_exit_40,full_reversion_40,adverse_excursion_40
15minute,1.5,above,moderate(20-40),25549,-0.015767072432115753,0.838102575390711,0.1405458947831829,0.27389213182727373,-0.010093920810808463,0.9256622263053131,0.3230745674475578,0.3572799309537622,0.02751886246966697,0.979916067146283,0.664568345323741,0.45165413777217056,,,,
15minute,1.5,above,strong(>40),13741,-0.04715767553489167,0.8205025528080889,0.14135549104014417,0.32959714826573655,-0.04718741844349376,0.9192142758334486,0.31816295476552775,0.44660583610575233,-0.04431376421201974,0.9688295165394402,0.6424936386768448,0.5758953274482486,,,,
15minute,1.5,above,weak(<20),5166,0.046439998222305476,0.8546046787089132,0.14154575066627184,0.24585909743059312,0.10503819298641968,0.9395532194480947,0.3346473937801139,0.2988122114924014,0.06397968138262129,0.9911504424778761,0.6902654867256637,0.3809876045785934,,,,
15minute,1.5,below,moderate(20-40),30206,0.01534930836623358,0.7858600853590647,0.09718871775839673,0.27770395542308673,0.04242157639094106,0.8891953713670614,0.23896663078579117,0.37677422531998106,0.08447723678732423,0.9544776119402985,0.5348258706467661,0.4817405620970884,,,,
15minute,1.5,below,strong(>40),13051,0.03278234379363357,0.7670686835650041,0.11529026982829109,0.30623123337528607,0.05556926538725315,0.8698519712736333,0.26410669793346037,0.44469270172394987,0.3321243791358135,0.9394921663965424,0.5607779578606159,0.5333742776654874,,,,
15minute,1.5,below,weak(<20),8152,0.0119104179817425,0.7895040369088812,0.08881199538638986,0.2588572929551163,0.0043602254859226785,0.897952948365414,0.22212037885731745,0.34560666211370866,0.034632417323665024,0.9745547073791349,0.5127226463104325,0.42365956608396743,,,,
15minute,2.0,above,moderate(20-40),10791,0.02359469499728878,0.8678414096916299,0.13215859030837004,0.2845790638112895,-0.0006342645199042279,0.9397064656882189,0.29789765965886555,0.3754680424133318,0.04250102557538641,0.9810640216411182,0.6429215509467989,0.49746881115600516,,,,
15minute,2.0,above,strong(>40),6988,-0.052291992748439715,0.8503694581280788,0.1330049261083744,0.35994043546504967,-0.02569628647420254,0.9321984150278838,0.3020252421485178,0.46716701660778326,-0.11878878597995378,0.9655712050078247,0.5837245696400626,0.6428867882640502,,,,
15minute,2.0,above,weak(<20),1601,0.07308066634220814,0.878625134264232,0.1267454350161117,0.24995488499245871,0.22009132972020454,0.966996699669967,0.3118811881188119,0.2881764247980949,-0.0590520656001228,0.9929078014184397,0.6808510638297872,0.4285991654766564,,,,
15minute,2.0,below,moderate(20-40),12086,0.07594076629488161,0.8066148340120943,0.0808342589164507,0.29721182272954094,0.09326776004448172,0.8991485335856196,0.20056764427625354,0.40693363946087796,0.15334879089750425,0.9531615925058547,0.501951600312256,0.5050123562101012,,,,
