strategy_variant,timeframe,nifty_regime_at_signal,target_pct,stop_pct,n_trades,win_rate_pct,avg_pnl_pct,avg_win_pct,avg_loss_pct,total_pnl_pct,profit_factor,expectancy_pct,sharpe_like,max_drawdown_pct,avg_bars_held,tp_rate_pct,sl_rate_pct,eod_rate_pct
baseline,15minute,neutral,1.0,0.5,88286.0,33.369956731531616,-0.03700054192356795,0.8541193874194716,-0.4832952166090807,-3266.62984426412,0.8850985543388267,-0.03700054192356795,-0.05640257378488623,-3440.2633337177817,2.5073058015993475,25.839884013320347,63.442674942799535,10.717441043880118
baseline,15minute,neutral,1.5,0.5,87097.0,29.407442277001504,-0.02463615996257948,1.0742275692001915,-0.48240072789970223,-2145.735624260785,0.9276553960843533,-0.02463615996257948,-0.03199100017130325,-2458.5778156564797,3.090221247574543,16.735364019426616,67.04134470762483,16.22329127294855
baseline,15minute,strong_down,1.0,0.5,30096.0,33.58585858585859,-0.031908985140087616,0.868361794172431,-0.48717899901295825,-960.3328167760768,0.9013802560926939,-0.031908985140087616,-0.0481571212669602,-1082.9721019507208,2.596690590111643,26.57828282828283,64.02179691653376,9.399920255183412
baseline,15minute,strong_down,1.5,0.5,29713.0,29.132029751287313,-0.02198573393465908,1.1073410353066477,-0.48622339906040113,-653.2621124005252,0.9361949403915221,-0.02198573393465908,-0.02814504218662023,-791.3198795143053,3.2626123245717364,17.712785649379057,68.11496651297412,14.17224783764682
baseline,15minute,strong_up,1.0,0.5,17722.0,33.67001467103036,-0.031246691597054208,0.8637621679040108,-0.48556552312770973,-553.7538684829947,0.902983344924315,-0.031246691597054208,-0.04724618950609787,-555.0722161808546,2.7341157882857465,26.57713576345785,63.56506037693263,9.857803859609525
baseline,15minute,strong_up,1.5,0.5,17528.0,29.28457325422182,-0.022630092196651262,1.093752499045836,-0.4849448837132054,-396.66025602290335,0.9340097498005254,-0.022630092196651262,-0.029113694176522507,-447.9801769455862,3.4707325422181654,17.38931994523049,67.61182108626198,14.99885896850753
baseline,1minute,neutral,1.0,0.5,235042.0,36.1969350158695,0.003571879693934159,0.8608019196261449,-0.482754287501877,839.5417470216726,1.0115965589831855,0.003571879693934159,0.005318546418476021,-751.2228230590086,27.502578262608385,28.46044536721097,60.63980054628535,10.89975408650369
baseline,1minute,neutral,1.5,0.5,227482.0,30.855628137610886,0.0038359415980378404,1.0928973692563013,-0.48215696752429693,872.607666604844,1.0115060618381235,0.0038359415980378404,0.004858656999795759,-739.2831438695221,38.101181631953295,18.336835441925075,65.6038719547041,16.059292603370817
baseline,1minute,strong_down,1.0,0.5,53365.0,36.032980417876885,0.0013790536144961945,0.86100462595648,-0.4828528461559516,73.59319613758942,1.0044648846060589,0.0013790536144961945,0.00205494854431338,-712.3557209985161,27.751672444486086,28.398763234329614,60.80951934788719,10.791717417783191
baseline,1minute,strong_down,1.5,0.5,51996.0,30.838910685437344,0.006255928313772651,1.1021180025277855,-0.4823886688893555,325.28324860292275,1.0187513629776255,0.006255928313772651,0.007885982016628846,-776.5981082186627,37.838756827448265,18.693745672744058,65.65312716362797,15.653127163627973
