timeframe,threshold,direction,target_pct,stop_pct,n_trades,win_rate_pct,avg_pnl_pct,avg_win_pct,avg_loss_pct,total_pnl_pct,profit_factor,expectancy_pct,sharpe_like,max_drawdown_pct,avg_bars_held,tp_rate_pct,sl_rate_pct,eod_rate_pct
1minute,1.5,above,0.3,0.3,142563.0,50.5530888098595,0.0036028423415573724,0.29760007233349733,-0.29697140425766694,513.6320127394437,1.0245353048163606,0.0036028423415573724,0.012079084804555282,-246.0967758445488,6.24443930051977,49.883910972692775,48.69706726149141,1.4190217658158149
1minute,1.5,above,0.4,0.4,126013.0,50.282113750168634,0.002402340684789326,0.39300859231831403,-0.3926367379572658,302.72615671235735,1.0123063994331079,0.002402340684789326,0.0060745797670763825,-440.06418365047693,9.918016395133835,48.87670319728917,48.35374128066152,2.769555522049312
1minute,1.5,above,0.5,0.3,128557.0,39.167839946482886,0.009774577796730492,0.48540816357065436,-0.29647034502658276,1256.590397814282,1.0541980312356058,0.009774577796730492,0.025397652558440023,-215.21380162506705,10.055656245867592,37.33207837768461,59.76181771509914,2.9061039072162544
1minute,1.5,above,0.5,0.5,113214.0,50.09981097744095,0.0008266747383702046,0.4848479462161078,-0.48513088744907046,93.59115382984434,1.0034148650802182,0.0008266747383702046,0.0016853261570738127,-634.7265739624576,14.46034059391948,47.69374812302365,47.71318034872012,4.593071528256223
1minute,1.5,below,0.3,0.3,145599.0,48.89319294775376,-0.00688329128837198,0.29599555949149464,-0.29664340241867726,-1002.2003282956719,0.9545971927634335,-0.00688329128837198,-0.02313000690264396,-1097.1896982029893,8.629049650066278,47.774366582188065,50.27507057053964,1.950562847272303
1minute,1.5,below,0.4,0.4,125151.0,48.98802246885762,-0.008777957940627535,0.38886869970883653,-0.3906475568540543,-1098.5702142274768,0.9559509827745951,-0.008777957940627535,-0.0223112607064674,-1238.4080424831197,13.719051385925802,46.73394539396409,49.30044506236466,3.9656095436712455
1minute,1.5,below,0.5,0.3,129341.0,37.60447189986161,-0.004893932397626326,0.4784114051236554,-0.29617188992535265,-632.9861102413867,0.9735173973441157,-0.004893932397626326,-0.012894799498229869,-876.5462462049912,13.380382090752352,34.929372743368305,61.24276138270154,3.8278658739301537
1minute,1.5,below,0.5,0.5,110805.0,49.03208338973873,-0.011162388679852926,0.4768602592398034,-0.4806492494408079,-1236.8484776711034,0.9544349353508781,-0.011162388679852926,-0.02294792184408909,-1422.5459133732536,19.819701277018186,45.36708632281937,48.157574116691485,6.4753395604891475
1minute,2.0,above,0.3,0.3,68491.0,50.25769809172008,0.0017560534221895433,0.2982246447517648,-0.29778434549608335,120.27385493918402,1.0118552299305057,0.0017560534221895433,0.005878160913261308,-186.65420570654084,4.542450832956155,49.746682045816236,49.19478471624009,1.0585332379436714
1minute,2.0,above,0.4,0.4,61838.0,50.40428215660273,0.0033258882232155133,0.39484697671185226,-0.3945782106095576,205.66627594720092,1.0169953600551906,0.0033258882232155133,0.008385195603900587,-221.2734566614518,6.998366700087325,49.322423105533815,48.596332352275304,2.081244542190886
