initial_capital,final_equity,total_return_pct,cagr_pct,years,n_trades,win_rate_pct,avg_win_rupees,avg_loss_rupees,profit_factor,max_drawdown_pct,sharpe_annualized,total_costs_rupees,signals_total,signals_skipped_concurrency_cap,max_concurrent,slot_fraction,round_trip_cost_pct,scenario
1000000.0,1044679.05,4.47,2.22,1.99,7602,29.58,1363.43,-564.48,1.015,-9.99,0.366,395812.25,7698,96,10,0.1,0.05,optimistic
1000000.0,832891.69,-16.71,-8.77,1.99,7602,29.48,1197.48,-531.74,0.941,-18.63,-1.377,566269.46,7698,96,10,0.1,0.08,realistic
