timeframe,threshold,direction,nifty_regime,n_events,ret_5,band_exit_5,full_reversion_5,adverse_excursion_5,ret_10,band_exit_10,full_reversion_10,adverse_excursion_10,ret_20,band_exit_20,full_reversion_20,adverse_excursion_20,ret_40,band_exit_40,full_reversion_40,adverse_excursion_40
15minute,1.5,above,neutral,30440,-0.010263260429004198,0.8361280860425324,0.14079687118064044,0.2859609875519815,0.025789276555859452,0.9313559944203803,0.33477718229204906,0.3723623062638086,0.09683825597307931,0.980422147445702,0.6882838788620373,0.4714646009660469,,,,
15minute,1.5,above,strong_down,5149,-0.05028577289707802,0.8273201724529158,0.16836850465169048,0.31553063745136795,-0.055448276593657794,0.9076723016905072,0.3271781534460338,0.4164668942400923,-0.19915483605553222,0.9666080843585237,0.6151142355008787,0.5522884833844828,,,,
15minute,1.5,above,strong_up,8978,-0.033283523059064644,0.8310421286031042,0.12357723577235773,0.2843644073963469,-0.07879202437298113,0.9197292069632496,0.28646034816247584,0.37786697041297246,-0.05041962460668478,0.977961432506887,0.6235078053259872,0.4471161692116587,,,,
15minute,1.5,below,neutral,31788,-0.0021003259547178834,0.7770638809281686,0.09346399186465748,0.2847528997709838,0.03862148981116009,0.8807557732680196,0.2423372988103569,0.3956592053184977,0.12062276042733687,0.9446210916799153,0.5384207737148914,0.5208065074802366,,,,
15minute,1.5,below,strong_down,16305,0.07012857964744738,0.7915350074837851,0.11250623648761018,0.26868815690608955,0.05902630609586245,0.8955096047962804,0.25241649333170196,0.37275431425240396,0.2294741146622277,0.9745845552297165,0.5601173020527859,0.4122123152506309,,,,
15minute,1.5,below,strong_up,3406,-0.024343546537135736,0.7696211096075778,0.10723951285520975,0.32900511753398887,-0.0034630653244468812,0.8734821778300039,0.22130826478652565,0.4331544855899304,0.05106732506805355,0.9332552693208431,0.49063231850117095,0.5568911259709246,,,,
15minute,2.0,above,neutral,13429,-0.0016265805136673672,0.8627058823529412,0.12976470588235295,0.30934289709443286,0.02622689427275986,0.9432026383290583,0.3057896665445218,0.4057126687632887,0.08030358289375161,0.9758064516129032,0.660394265232975,0.5561754370662162,,,,
15minute,2.0,above,strong_down,2130,-0.06268113259404096,0.8560090702947846,0.15136054421768708,0.3517893298647157,-0.09135818738399232,0.9269406392694064,0.30071754729288974,0.4458746439721092,-0.39112350734070955,0.9702233250620348,0.5533498759305211,0.5770578815487403,,,,
15minute,2.0,above,strong_up,3906,0.028527683998816427,0.8617206548241031,0.12574016022291884,0.2954768145405592,-0.0005760015404369845,0.9342167534311405,0.28300993847610034,0.3830752585025411,0.03410375736691347,0.9764397905759162,0.5942408376963351,0.48930137945891716,,,,
15minute,2.0,below,neutral,12450,0.040537696701695464,0.7986402966625463,0.08318912237330037,0.3215562021602161,0.10407530918139364,0.8903764066744276,0.2145906092355452,0.43456897977077813,0.15236077061002354,0.9467408585055644,0.5103338632750397,0.5833760469694207,,,,
15minute,2.0,below,strong_down,6843,0.11736883155647768,0.8154469810113079,0.08576914870919565,0.2791283484113129,0.09954308269917386,0.9032827391457818,0.20684786445464173,0.39951160273619596,0.32159929773854257,0.9709677419354839,0.5177419354838709,0.43058940293962866,,,,
15minute,2.0,below,strong_up,1295,0.005655246589505441,0.7763401109057301,0.08040665434380777,0.35334132751070313,0.059159915619451074,0.8784530386740331,0.17900552486187846,0.47383506485449545,-0.005055417294789361,0.9244604316546763,0.4244604316546763,0.588356884630819,,,,
15minute,3.0,above,neutral,3226,0.10795158066580234,0.8860353130016051,0.13162118780096307,0.36240227542836334,0.2123451667402891,0.9435127978817299,0.2850838481906443,0.45956688872035517,0.3618264217832288,0.9623655913978495,0.6021505376344086,0.599881993014899,,,,
15minute,3.0,above,strong_down,491,0.11653158371177061,0.8840970350404312,0.14016172506738545,0.3903925285873814,0.1867978181033386,0.9318181818181818,0.2987012987012987,0.5371696848061253,-0.12245578432759599,0.9420289855072463,0.4492753623188406,0.8488050213355042,,,,
15minute,3.0,above,strong_up,831,0.07554430215701616,0.8919382504288165,0.11149228130360206,0.34549188521182733,0.1497859360580692,0.9455445544554455,0.26485148514851486,0.40542912060140013,0.4720682425083748,0.9811320754716981,0.5471698113207547,0.48796613623929536,,,,
15minute,3.0,below,neutral,2413,0.13327913308705036,0.791156462585034,0.08775510204081632,0.4476602127845642,0.03980673685047295,0.8811563169164882,0.19271948608137046,0.6286367728409852,-0.10513000643753034,0.9490445859872612,0.42038216560509556,0.794963578927066,,,,
15minute,3.0,below,strong_down,1187,0.285843831535243,0.8407894736842105,0.0881578947368421,0.37864054535577923,0.005674350679253395,0.8871794871794871,0.18717948717948718,0.5793870571524693,0.3620157846286506,0.9777777777777777,0.5,0.5632971354229731,,,,
15minute,3.0,below,strong_up,236,0.025246712941972657,0.7802197802197802,0.08241758241758242,0.4837072451136135,0.04081917944934318,0.8783783783783784,0.14189189189189189,0.6256225041335117,-0.6529091894525976,0.9032258064516129,0.25806451612903225,0.7055456909388753,,,,
15minute,4.0,above,neutral,995,0.2835465227088344,0.8606870229007634,0.1183206106870229,0.3671000087469839,0.2328168169201679,0.9201388888888888,0.2326388888888889,0.5218944835297656,0.6590333257148766,0.926829268292683,0.5121951219512195,0.4437408084099089,,,,
15minute,4.0,above,strong_down,147,0.15350984771386852,0.89,0.11,0.3852318673057422,0.2964519621719076,0.9615384615384616,0.2692307692307692,0.5322914028710628,-0.4677672652936004,1.0,0.5,0.8178366940214452,,,,
15minute,4.0,above,strong_up,201,0.28265149892444724,0.8923076923076924,0.11538461538461539,0.41479670707102284,0.2235149084974969,0.9666666666666667,0.2,0.5239794787023897,-0.2280861065788465,1.0,0.6,0.8506636479874145,,,,
15minute,4.0,below,neutral,689,0.23223033202628424,0.8125,0.08333333333333333,0.5119176736321944,0.22417112969902545,0.8960573476702509,0.1827956989247312,0.7333303571432722,0.6739471190125569,0.9545454545454546,0.45454545454545453,0.5307971484996398,,,,
15minute,4.0,below,strong_down,312,0.34493923064880094,0.835820895522388,0.06965174129353234,0.3720012513196714,0.07239319346080852,0.9166666666666666,0.1574074074074074,0.48511741396286545,-0.4348485736948919,1.0,0.4230769230769231,0.49185834696647246,,,,
15minute,4.0,below,strong_up,66,0.7617303732889655,0.875,0.14583333333333334,0.33978181477382147,1.2545803756543967,0.9024390243902439,0.21951219512195122,0.3697161758301582,0.5912005245697236,1.0,0.25,0.1943986210948352,,,,
