timeframe,threshold,direction,n_events,ret_5,band_exit_5,full_reversion_5,adverse_excursion_5,ret_10,band_exit_10,full_reversion_10,adverse_excursion_10,ret_20,band_exit_20,full_reversion_20,adverse_excursion_20,ret_40,band_exit_40,full_reversion_40,adverse_excursion_40
15minute,1.5,above,44567,-0.020764139081394885,0.8338128813988048,0.14095551269484935,0.28973980256300774,-0.01189599105599775,0.9246775048595158,0.3224509630676798,0.3811112572454303,0.006371740201623163,0.9770742358078602,0.6602983988355168,0.4833754699638001,,,,
15minute,1.5,below,51499,0.019826532760871266,0.7812158619182871,0.10083023814725803,0.2830491352422047,0.04099303978852129,0.8848337064278862,0.2434841701311161,0.3920024966460394,0.14509227330833158,0.952352412346419,0.538957147138148,0.49213293044836276,,,,
15minute,2.0,above,19465,-0.003235056833000299,0.8615911686334221,0.13178530643319375,0.3120125571168621,0.00020619468652457632,0.9383787346221442,0.29964850615114236,0.4072213968074629,-0.02891969470526997,0.9747501315097317,0.6244082062072593,0.5471642509118075,,,,
15minute,2.0,below,20588,0.0637980126006041,0.8025831589580777,0.08384443322029006,0.3096889790638973,0.09805998880378605,0.8932748538011696,0.20850202429149797,0.427396044307642,0.18073098702103643,0.950834879406308,0.50139146567718,0.5400814985331487,,,,
15minute,3.0,above,4548,0.10238648600035136,0.8869996457669146,0.12858660998937302,0.36258846969891073,0.1943817452899923,0.9420054200542005,0.28292682926829266,0.4606671612809836,0.27230481229227366,0.961038961038961,0.5584415584415584,0.6363889688104014,,,,
15minute,3.0,below,3836,0.17319922859045925,0.8059701492537313,0.08747927031509121,0.4286326890026448,0.03086530403651722,0.8824728260869565,0.18614130434782608,0.6152852097382493,-0.014979047723540414,0.9532374100719424,0.42805755395683454,0.7099925917220219,,,,
15minute,4.0,above,1343,0.2661459648952178,0.870026525198939,0.11671087533156499,0.377728333200566,0.2418658729982278,0.9364035087719298,0.2324561403508772,0.5240844161485317,0.37861184229428047,0.9464285714285714,0.5178571428571429,0.5468760415171035,,,,
15minute,4.0,below,1067,0.3028184239554099,0.8237885462555066,0.08370044052863436,0.45848783206094773,0.28457945205987306,0.9018691588785047,0.17990654205607476,0.6358649849532685,0.2958617245774757,0.9743589743589743,0.4230769230769231,0.4833151349214245,,,,
1minute,1.5,above,191125,0.012858991399167642,0.6904368978857014,0.009794571192815885,0.16384261978911005,0.01047171260080668,0.8014275486279246,0.02719556651053992,0.23497805863868024,0.0017360051989547419,0.8813336983551205,0.06374763306184839,0.32128359242364746,-0.0054995301258657266,0.9368079276303443,0.13449194850043167,0.41666939292828353
1minute,1.5,below,222552,0.025845676734411942,0.6719251336898395,0.00545823345011986,0.1232106601144808,0.023351697554684612,0.7791945074480475,0.014853656121356728,0.18293181824043378,0.015578528848629125,0.8606047076915445,0.03700176104372845,0.26057478934758554,0.011456564708835501,0.9196191487747515,0.08566984945863634,0.3532913414425253
