timeframe,threshold,direction,rsi_bucket,n_events,ret_5,band_exit_5,full_reversion_5,adverse_excursion_5,ret_10,band_exit_10,full_reversion_10,adverse_excursion_10,ret_20,band_exit_20,full_reversion_20,adverse_excursion_20,ret_40,band_exit_40,full_reversion_40,adverse_excursion_40
15minute,1.5,above,neutral(30-70),21956,-0.020899446147972733,0.8100785171836787,0.11487964989059081,0.32385951128983087,-0.01963554139859853,0.9043607073419128,0.27988149245440236,0.41435867380035063,-0.014982227863107617,0.9768518518518519,0.627104377104377,0.4950140833769101,,,,
15minute,1.5,above,overbought(>70),22460,-0.016041634580440122,0.8588907014681892,0.16583009160496925,0.2527854991408468,-0.00041571585843696744,0.9449863107460643,0.3624229979466119,0.3439701413575253,0.047635857128196984,0.980623973727422,0.689983579638752,0.4541282007348167,,,,
15minute,1.5,above,oversold(<30),90,-0.47817311029397563,0.6111111111111112,0.2111111111111111,0.7213958695226051,-0.2362475604072829,0.8089887640449438,0.29213483146067415,0.9871119429859064,-0.9557095348528825,0.8703703703703703,0.5,1.3682188539818236,,,,
15minute,1.5,below,neutral(30-70),28607,0.0068747119084916234,0.7533046190405466,0.08911332244170503,0.32193936814996466,0.022276963700537868,0.853574819250712,0.2177024757175199,0.4391362003153513,0.04060337101296418,0.9297994269340975,0.4722063037249284,0.5447491743663729,,,,
15minute,1.5,below,overbought(>70),96,-0.12373108082266364,0.7065217391304348,0.17391304347826086,0.5621656216843972,-0.5366464535585909,0.7682926829268293,0.3170731707317073,0.9406736723736171,-1.1103422368431755,0.7878787878787878,0.4090909090909091,1.4899727344875764,,,,
15minute,1.5,below,oversold(<30),22748,0.03572053466363419,0.8164895250967623,0.11488603551022916,0.2325437507280666,0.06804195137365572,0.924506387921022,0.27463593317251855,0.32862512085486556,0.2895952416925678,0.9819587628865979,0.6172680412371134,0.4088940782645153,,,,
15minute,2.0,above,neutral(30-70),7747,-0.015263631799791691,0.8317739520958084,0.0907559880239521,0.3598716612840582,-0.01602899304196845,0.9192580469176214,0.23240589198036007,0.4584729298873271,-0.046381057408334286,0.9736456808199122,0.575402635431918,0.5285197432946119,,,,
15minute,2.0,above,overbought(>70),11630,0.011609082525405191,0.883811502012203,0.1605867843697261,0.2743931242582921,0.022947729024656915,0.953101644245142,0.3480941704035874,0.3619004453989385,0.012177294180279848,0.9780033840947546,0.6582064297800339,0.5349381581776148,,,,
15minute,2.0,above,oversold(<30),41,-0.8263589567389549,0.6585365853658537,0.0975609756097561,0.8523836420980423,-0.5141410503258981,0.8048780487804879,0.17073170731707318,1.1374885693388679,-0.8255849016209474,1.0,0.4583333333333333,1.2355901653660706,,,,
15minute,2.0,below,neutral(30-70),10186,0.024495295787108278,0.7563372258615779,0.06322984904585588,0.36261620442964254,0.018420667463462707,0.8554294281430713,0.15849218248018848,0.49171214409347463,-0.07900894202502323,0.9253456221198156,0.39262672811059907,0.6074636259758188,,,,
15minute,2.0,below,overbought(>70),36,-0.19606763037342798,0.71875,0.125,0.5280159872177074,-0.8224003558338933,0.8620689655172413,0.1724137931034483,0.9763003380826483,-1.5728049811164206,0.9090909090909091,0.4090909090909091,1.4424103294005277,,,,
15minute,2.0,below,oversold(<30),10340,0.10337014516257674,0.8514530166691252,0.1044401829178345,0.25256881668361864,0.19391396364724447,0.9371401151631478,0.26415547024952013,0.34814794488574435,0.4900619023287518,0.9807507218479307,0.6179018286814244,0.4433452029705516,,,,
15minute,3.0,above,neutral(30-70),1263,0.05740212194513335,0.8521939953810623,0.06697459584295612,0.4299388384176688,0.1969235743922069,0.915807560137457,0.18900343642611683,0.5226512145482252,-0.018873192892812446,0.9473684210526315,0.4842105263157895,0.6621892703453253,,,,
15minute,3.0,above,overbought(>70),3260,0.13241491232895963,0.9057971014492754,0.15631469979296067,0.32323648046200004,0.2158929960176565,0.9563812600969306,0.3295638126009693,0.41246170605720217,0.5802652348527136,0.9752475247524752,0.6089108910891089,0.5227398502628792,,,,
15minute,3.0,above,oversold(<30),6,-0.646001436114208,0.8333333333333334,0.0,1.0451052383902908,-0.144178222806755,1.0,0.16666666666666666,1.5562491697073109,-0.684100024952192,1.0,0.25,1.8172494271713064,,,,
