symbol,timeframe,count
ADANIPORTS,5minute,278
KEI,15minute,276
TATACHEM,5minute,276
PFIZER,5minute,274
ALKEM,1minute,273
COROMANDEL,15minute,272
TORNTPOWER,15minute,272
YESBANK,5minute,272
ANURAS,15minute,271
LTTS,5minute,271
LAURUSLABS,15minute,271
BALKRISIND,5minute,270
EIHOTEL,15minute,270
SUMICHEM,15minute,270
LENSKART,5minute,269
EICHERMOT,1minute,269
URBANCO,15minute,268
BALRAMCHIN,15minute,266
AUBANK,5minute,266
COALINDIA,1minute,265
NATCOPHARM,15minute,265
CDSL,15minute,264
INDIGO,5minute,263
GESHIP,15minute,263
JSWENERGY,15minute,262
AADHARHFC,15minute,262
UTIAMC,15minute,262
CESC,15minute,262
BAJAJHFL,5minute,261
TITAN,1minute,261
JKTYRE,15minute,259
SOLARINDS,15minute,258
TORNTPHARM,1minute,258
GICRE,15minute,258
JSL,15minute,257
GROWW,15minute,256
CARBORUNIV,15minute,256
CAMS,15minute,255
HINDPETRO,15minute,255
ADANIENT,15minute,255
LGEINDIA,1minute,255
JSWSTEEL,1minute,254
SBFC,15minute,254
TMCV,5minute,254
CUB,15minute,253
SAIL,15minute,253
INDIAMART,5minute,253
ESCORTS,5minute,252
UNITDSPR,1minute,252
SRF,5minute,251
ZFCVINDIA,15minute,250
MEESHO,15minute,250
BAJAJ-AUTO,1minute,250
RAMCOCEM,5minute,249
BAJAJHLDNG,15minute,249
HCLTECH,1minute,249
PERSISTENT,15minute,249
PATANJALI,5minute,248
NCC,15minute,248
POWERGRID,1minute,248
ZYDUSLIFE,1minute,247
IRCTC,1minute,246
SUPREMEIND,15minute,246
LEMONTREE,15minute,244
PETRONET,5minute,243
SHYAMMETL,15minute,243
SONACOMS,15minute,242
KIMS,15minute,241
LINDEINDIA,15minute,241
HDFCLIFE,1minute,241
DELHIVERY,15minute,239
MOTHERSON,15minute,239
ENDURANCE,15minute,238
NHPC,5minute,236
EIDPARRY,15minute,236
BANDHANBNK,15minute,236
JSWDULUX,15minute,236
NIVABUPA,15minute,235
CLEAN,15minute,235
3MINDIA,5minute,234
GODREJCP,1minute,234
ASTRAL,5minute,233
HDFCAMC,5minute,233
M&MFIN,15minute,233
RECLTD,15minute,233
TRENT,15minute,233
MUTHOOTFIN,5minute,232
APOLLOTYRE,5minute,231
ICICIGI,1minute,230
IEX,15minute,230
PNB,5minute,229
AMBUJACEM,5minute,229
SHRIRAMFIN,15minute,228
BPCL,5minute,227
VOLTAS,15minute,227
TIMKEN,15minute,227
PFC,15minute,227
NAVINFLUOR,15minute,226
ENRIN,15minute,225
BIKAJI,15minute,225
AARTIIND,15minute,225
VBL,15minute,223
SHREECEM,1minute,222
NTPC,1minute,222
NTPCGREEN,15minute,220
SIEMENS,15minute,220
DALBHARAT,5minute,220
AWL,15minute,219
CHAMBLFERT,15minute,219
AIAENG,5minute,218
SJVN,15minute,218
AAVAS,15minute,218
JSWINFRA,15minute,217
NUVOCO,15minute,217
TATACONSUM,1minute,216
APTUS,15minute,216
INDHOTEL,5minute,216
BRITANNIA,1minute,214
IRB,15minute,214
MAHABANK,15minute,214
IRFC,15minute,214
IDFCFIRSTB,5minute,212
MGL,15minute,210
ANANDRATHI,15minute,210
JIOFIN,5minute,210
GLAXO,15minute,210
ABB,15minute,209
BEL,5minute,209
SBILIFE,1minute,209
BHARATFORG,15minute,209
CYIENT,15minute,208
CANFINHOME,15minute,208
IPCALAB,15minute,207
KARURVYSYA,15minute,206
TRIDENT,15minute,206
CRISIL,15minute,205
PIRAMALFIN,15minute,204
ASTERDM,15minute,204
INDIANB,15minute,203
AUROPHARMA,5minute,203
LICHSGFIN,5minute,203
LTM,5minute,203
HINDZINC,15minute,203
AJANTPHARM,15minute,202
NMDC,15minute,201
CONCOR,5minute,201
NH,15minute,201
GLAND,15minute,201
TENNIND,15minute,201
M&M,5minute,201
BATAINDIA,5minute,200
GILLETTE,15minute,199
CHOICEIN,15minute,198
NAUKRI,15minute,198
STARHEALTH,15minute,197
UNIONBANK,15minute,197
IGL,15minute,197
GAIL,5minute,196
TATAPOWER,5minute,195
HONAUT,5minute,195
FORTIS,15minute,195
DMART,5minute,194
LTF,15minute,194
PVRINOX,15minute,194
OBEROIRLTY,15minute,194
TATACOMM,15minute,193
VEDL,15minute,192
CIEINDIA,15minute,191
LICI,1minute,190
NYKAA,15minute,189
MPHASIS,15minute,189
EXIDEIND,15minute,188
BANKBARODA,5minute,187
GLENMARK,15minute,187
PIIND,5minute,187
MANKIND,15minute,187
ABCAPITAL,15minute,187
ANTHEM,5minute,186
MARICO,1minute,186
NESTLEIND,1minute,186
MEDANTA,15minute,185
HAL,15minute,185
IOB,15minute,184
BIOCON,15minute,184
MARUTI,1minute,184
UCOBANK,15minute,183
MRF,1minute,183
TATAELXSI,15minute,182
JSWCEMENT,5minute,182
GMRAIRPORT,15minute,179
CENTRALBK,15minute,179
APLAPOLLO,15minute,178
PAGEIND,5minute,177
DABUR,1minute,177
LT,1minute,177
ABLBL,15minute,176
BAJFINANCE,5minute,176
UBL,5minute,175
ARE&M,15minute,173
SBIN,1minute,173
SYNGENE,15minute,173
TMPV,5minute,173
JUBLFOOD,15minute,172
TRAVELFOOD,15minute,172
TATACAP,1minute,172
DIVISLAB,5minute,171
CUMMINSIND,15minute,171
TCS,1minute,171
HEROMOTOCO,5minute,171
BANKINDIA,15minute,171
RAINBOW,15minute,170
POLYCAB,15minute,170
KAJARIACER,15minute,169
MSUMI,15minute,169
HINDUNILVR,1minute,169
SUNTV,15minute,169
MFSL,5minute,168
TVSMOTOR,5minute,168
ITCHOTELS,15minute,168
JKCEMENT,15minute,168
THELEELA,15minute,168
SBICARD,5minute,167
CASTROLIND,15minute,167
BLUEDART,15minute,166
CROMPTON,15minute,166
UPL,15minute,165
EMAMILTD,15minute,165
DEEPAKNTR,15minute,165
DLF,15minute,164
SCHAEFFLER,15minute,164
LALPATHLAB,15minute,164
WIPRO,1minute,164
MAXHEALTH,15minute,163
CANBK,15minute,163
INFY,1minute,163
ASHOKLEY,15minute,162
AXISBANK,1minute,162
BAYERCROP,15minute,162
INDUSTOWER,15minute,161
BOSCHLTD,5minute,161
HDBFS,1minute,160
HYUNDAI,15minute,159
CANHLIFE,15minute,159
CIPLA,1minute,158
ATUL,15minute,157
BALKRISIND,15minute,157
HINDALCO,5minute,157
INDUSINDBK,15minute,156
LUPIN,5minute,155
GRASIM,1minute,154
TATATECH,15minute,154
ICICIAMC,5minute,153
ADANIPORTS,15minute,152
CHOLAFIN,15minute,151
BHARTIARTL,1minute,150
JINDALSTEL,15minute,150
BERGEPAINT,5minute,149
ONGC,5minute,148
IOC,5minute,148
LTTS,15minute,147
ESCORTS,15minute,147
BAJAJHFL,15minute,147
TECHM,5minute,147
ICICIPRULI,5minute,146
TATACHEM,15minute,144
ABBOTINDIA,5minute,144
INDIAMART,15minute,143
LENSKART,15minute,142
AUBANK,15minute,141
PATANJALI,15minute,141
SRF,15minute,139
PIDILITIND,1minute,139
HAVELLS,5minute,138
TATASTEEL,5minute,137
INDIGO,15minute,137
ASIANPAINT,1minute,137
ULTRACEMCO,1minute,136
DRREDDY,5minute,133
APOLLOHOSP,1minute,133
YESBANK,15minute,132
ACC,5minute,131
AMBUJACEM,15minute,130
TMCV,15minute,129
HDFCAMC,15minute,129
PFIZER,15minute,129
CONCOR,15minute,129
NHPC,15minute,128
COLPAL,5minute,127
PETRONET,15minute,127
MUTHOOTFIN,15minute,126
RAMCOCEM,15minute,125
RELIANCE,1minute,125
IDFCFIRSTB,15minute,124
DALBHARAT,15minute,124
ALKEM,5minute,123
PNB,15minute,121
FEDERALBNK,5minute,121
ASTRAL,15minute,119
EICHERMOT,5minute,119
APOLLOTYRE,15minute,118
3MINDIA,15minute,118
POWERGRID,5minute,117
JIOFIN,15minute,117
TATAPOWER,15minute,117
BPCL,15minute,117
AIAENG,15minute,115
BAJAJFINSV,5minute,115
TITAN,5minute,115
BAJAJ-AUTO,5minute,114
LGEINDIA,5minute,114
BEL,15minute,113
ZYDUSLIFE,5minute,113
SUNPHARMA,1minute,112
AUROPHARMA,15minute,112
M&M,15minute,112
ITC,1minute,112
COALINDIA,5minute,112
LICHSGFIN,15minute,112
INDHOTEL,15minute,110
PIIND,15minute,110
BATAINDIA,15minute,110
ANTHEM,15minute,107
KOTAKBANK,1minute,106
IRCTC,5minute,105
TMPV,15minute,104
HONAUT,15minute,104
ICICIGI,5minute,103
UNITDSPR,5minute,103
LTM,15minute,103
JSWCEMENT,15minute,102
DMART,15minute,102
ICICIAMC,15minute,101
NTPC,5minute,101
HDFCLIFE,5minute,101
GAIL,15minute,100
SBILIFE,5minute,99
SBICARD,15minute,99
JSWSTEEL,5minute,97
MFSL,15minute,97
BRITANNIA,5minute,96
TATACONSUM,5minute,95
HCLTECH,5minute,95
TORNTPHARM,5minute,95
HEROMOTOCO,15minute,91
SHREECEM,5minute,91
UBL,15minute,90
BANKBARODA,15minute,90
BAJFINANCE,15minute,89
DIVISLAB,15minute,89
ICICIPRULI,15minute,88
MARUTI,5minute,88
BERGEPAINT,15minute,87
GODREJCP,5minute,86
LUPIN,15minute,83
PAGEIND,15minute,82
BOSCHLTD,15minute,82
HINDUNILVR,5minute,81
TVSMOTOR,15minute,81
TCS,5minute,81
NESTLEIND,5minute,79
INFY,5minute,79
HDBFS,5minute,79
ABBOTINDIA,15minute,79
LT,5minute,77
MARICO,5minute,75
TATASTEEL,15minute,75
LICI,5minute,74
TECHM,15minute,73
ONGC,15minute,73
IOC,15minute,71
DRREDDY,15minute,71
SBIN,5minute,71
WIPRO,5minute,70
CIPLA,5minute,70
ACC,15minute,69
MRF,5minute,69
HINDALCO,15minute,68
HDFCBANK,1minute,68
AXISBANK,5minute,68
BHARTIARTL,5minute,68
HAVELLS,15minute,66
TATACAP,5minute,66
FEDERALBNK,15minute,66
EICHERMOT,15minute,65
DABUR,5minute,64
ASIANPAINT,5minute,64
COALINDIA,15minute,63
GRASIM,5minute,63
BAJAJ-AUTO,15minute,62
COLPAL,15minute,62
BAJAJFINSV,15minute,62
LGEINDIA,15minute,61
IRCTC,15minute,61
ICICIBANK,1minute,61
RELIANCE,5minute,59
TITAN,15minute,57
ZYDUSLIFE,15minute,56
HDFCLIFE,15minute,56
HCLTECH,15minute,56
POWERGRID,15minute,56
UNITDSPR,15minute,56
ICICIGI,15minute,56
APOLLOHOSP,5minute,55
ITC,5minute,54
ULTRACEMCO,5minute,54
ALKEM,15minute,54
PIDILITIND,5minute,53
SBILIFE,15minute,53
TORNTPHARM,15minute,52
TATACONSUM,15minute,51
TCS,15minute,51
JSWSTEEL,15minute,50
NTPC,15minute,50
BRITANNIA,15minute,47
SUNPHARMA,5minute,46
NESTLEIND,15minute,45
LT,15minute,44
MARUTI,15minute,43
GODREJCP,15minute,43
HDBFS,15minute,42
SBIN,15minute,42
MARICO,15minute,41
GRASIM,15minute,40
INFY,15minute,40
BHARTIARTL,15minute,40
HINDUNILVR,15minute,39
AXISBANK,15minute,38
KOTAKBANK,5minute,37
SHREECEM,15minute,37
TATACAP,15minute,36
WIPRO,15minute,36
MRF,15minute,36
ASIANPAINT,15minute,35
CIPLA,15minute,35
LICI,15minute,35
DABUR,15minute,34
ULTRACEMCO,15minute,31
ITC,15minute,30
APOLLOHOSP,15minute,29
HDFCBANK,5minute,28
PIDILITIND,15minute,27
RELIANCE,15minute,26
KOTAKBANK,15minute,21
SUNPHARMA,15minute,18
ICICIBANK,5minute,18
HDFCBANK,15minute,13
ICICIBANK,15minute,9
