strategy_variant,symbol,timeframe,n_trades,win_rate_pct,avg_pnl_pct,avg_win_pct,avg_loss_pct,total_pnl_pct,profit_factor,expectancy_pct,sharpe_like,max_drawdown_pct,avg_bars_held,tp_rate_pct,sl_rate_pct,eod_rate_pct
baseline,360ONE,15minute,729.0,30.864197530864196,-0.029430963678756583,0.9967264773121601,-0.4875369641211302,-21.455172521813548,0.9126839811492662,-0.029430963678756583,-0.04059421845994307,-40.00284226385873,2.5665294924554183,22.08504801097394,66.52949245541838,11.385459533607682
baseline,360ONE,1minute,1623.0,34.07270486752927,0.006652174846086886,0.963576133698455,-0.48790759080378177,10.796479775199016,1.020680489921426,0.006652174846086886,0.009064233656910121,-52.745371986638844,30.934688847812694,23.35181762168823,63.21626617375231,13.431916204559457
baseline,360ONE,5minute,1128.0,34.751773049645394,0.0400786360194763,1.0331613505420592,-0.48884585323711677,45.20870142996927,1.1256528324145023,0.0400786360194763,0.0524254119929018,-22.999999999999655,7.056737588652482,26.595744680851062,62.85460992907801,10.549645390070921
baseline,3MINDIA,15minute,203.0,27.586206896551722,-0.08016930120030245,0.9408341200885245,-0.46912298550080794,-16.2743681436614,0.7640064742219808,-0.08016930120030245,-0.11736198162597411,-32.54335395586742,2.70935960591133,17.733990147783253,65.51724137931035,16.748768472906402
baseline,3MINDIA,1minute,569.0,36.37961335676626,0.014903165450662042,0.851084014026158,-0.46324444685632027,8.479901141426701,1.0505675598134587,0.014903165450662042,0.02117588626632831,-21.536894048315517,36.107205623901585,20.035149384885763,57.46924428822495,22.495606326889277
baseline,3MINDIA,5minute,374.0,37.70053475935829,0.050015371936792126,0.9081166653249311,-0.46926480989894864,18.705749104360255,1.171080769969822,0.050015371936792126,0.06783453987877414,-24.536004843007227,7.807486631016043,23.262032085561497,57.48663101604278,19.25133689839572
baseline,AADHARHFC,15minute,480.0,32.708333333333336,-0.030925929634469718,0.910155177772614,-0.488355446237913,-14.844446224545464,0.9058922385304973,-0.030925929634469718,-0.04369614583774838,-35.81849104798534,2.8291666666666666,21.25,63.95833333333333,14.791666666666666
baseline,AADHARHFC,1minute,1161.0,32.38587424633936,-0.010955981555331323,0.9626943987638731,-0.47731590894389286,-12.719894585739667,0.9660524883693461,-0.010955981555331323,-0.015113190085847503,-44.886410176131854,37.14039621016365,22.739018087855296,63.65202411714039,13.608957795004306
baseline,AADHARHFC,5minute,735.0,32.244897959183675,-0.02261692393186114,0.9487155678860929,-0.4848775676283574,-16.623439089917937,0.9311570548783633,-0.02261692393186114,-0.03144342503771141,-42.08746962141401,7.959183673469388,22.040816326530614,64.21768707482994,13.741496598639454
baseline,AARTIIND,15minute,405.0,29.38271604938272,-0.08209693043979904,0.890427677329959,-0.4867487777286145,-33.24925682811861,0.7611578126643436,-0.08209693043979904,-0.12117949306764088,-45.79914612134749,2.9679012345679014,17.037037037037038,67.4074074074074,15.555555555555555
