strategy_variant,timeframe,target_pct,stop_pct,n_trades,win_rate_pct,avg_pnl_pct,avg_win_pct,avg_loss_pct,total_pnl_pct,profit_factor,expectancy_pct,sharpe_like,max_drawdown_pct,avg_bars_held,tp_rate_pct,sl_rate_pct,eod_rate_pct
baseline,15minute,1.0,0.5,136104.0,33.45676835361194,-0.03512546677190378,0.8585444734746842,-0.4844470196279746,-4780.716529523192,0.8910387874981581,-0.03512546677190378,-0.05336842297734505,-4882.159374837936,2.556603773584906,26.099159466290484,63.5866690178099,10.314171515899606
baseline,15minute,1.5,0.5,134338.0,29.330494722267712,-0.02378819092650042,1.0840456400472342,-0.48358077338233485,-3195.6579926842132,0.9303918103326099,-0.02378819092650042,-0.030754253682749807,-3552.02877839425,3.1779987791987376,17.036877130819278,67.35324331164674,15.609879557533981
baseline,1minute,1.0,0.5,326035.0,36.13170365144847,0.003221311581650321,0.8626322368884678,-0.48296640037079586,1050.2603215233623,1.0104431251843677,0.003221311581650321,0.004793562506797077,-1322.3932446578979,27.379965341144356,28.518717315625626,60.7351971414112,10.746085542963177
baseline,1minute,1.5,0.5,315947.0,30.783960600986877,0.004355286648691985,1.0987484223265709,-0.4823780697123288,1376.0397507942866,1.0130443500170045,0.004355286648691985,0.005504970599194545,-1237.177330303023,37.850364143353154,18.471452490449348,65.70564050299575,15.822907006554898
baseline,5minute,1.0,0.5,212175.0,35.16625427123836,-0.012035655257352059,0.8566126812448154,-0.48319628203218445,-2553.665154228673,0.9615810897288487,-0.012035655257352059,-0.018082037239331612,-2866.6371834048637,6.313279132791328,27.41369152821963,61.68351596559444,10.902792506185932
baseline,5minute,1.5,0.5,207484.0,30.27462358543309,-0.008845369384907213,1.0820796523231764,-0.4825229038849956,-1835.272621458088,0.9737089958587906,-0.008845369384907213,-0.011328678465847144,-2447.2869082788716,8.352099438992886,17.641360297661507,66.21185248019124,16.14678722214725
nifty_filtered,15minute,1.0,0.5,101354.0,33.17481303155277,-0.03736887940651115,0.8629002397393521,-0.48430006000831993,-3787.4854033675315,0.8845336681477902,-0.03736887940651115,-0.0567707372651958,-3864.998931697197,2.526293979517335,26.13315705349567,63.83073189020661,10.03611105629773
nifty_filtered,15minute,1.5,0.5,100218.0,29.131493344508968,-0.02371699160674456,1.09462596480677,-0.483427544702116,-2376.8694648447263,0.9307730932554698,-0.02371699160674456,-0.030585995008491493,-2644.544878569279,3.1308547366740505,17.150611666566885,67.51980682112993,15.329581512303179
nifty_filtered,1minute,1.0,0.5,278903.0,36.14554163992499,0.0023368517833671078,0.8586885316376742,-0.4824107460750013,651.7549729364365,1.0075861769567966,0.0023368517833671078,0.00348491724749195,-1141.220025565609,27.807718095538593,28.31522070397235,60.61784921639423,11.066930079633421
nifty_filtered,1minute,1.5,0.5,271068.0,30.842814349166996,0.00280779451628639,1.0894948356964345,-0.481834348615245,761.1032439407192,1.008426170715444,0.00280779451628639,0.0035625923706950596,-1067.9876883292059,38.21848761196453,18.242286068440393,65.53964318916286,16.218070742396744
nifty_filtered,5minute,1.0,0.5,167097.0,34.81570584750175,-0.016295516066466183,0.8577096506730163,-0.4831120581495919,-2722.9318481582995,0.9482539415971982,-0.016295516066466183,-0.024528318466757383,-2883.9374027111517,6.37663153737051,27.20156555772994,61.996325487591044,10.802108954679019
nifty_filtered,5minute,1.5,0.5,163799.0,29.992246594912057,-0.012941029218788496,1.0827141951887866,-0.4823342046188072,-2119.727645008337,0.9616756660562121,-0.012941029218788496,-0.016621798516979376,-2543.0797796802785,8.395045146795768,17.468360612702153,66.43447151692013,16.097167870377717
