trigger,filters,stop_atr,target_atr,val_trades,val_CAGR,val_Sharpe,val_MaxDD
bb_reversion,none,1.5,3.0,252,-20.36%,-3.76,-5.21%
bb_reversion,trend,1.5,3.0,252,-19.30%,-3.41,-3.70%
bb_reversion,none,1.0,2.0,252,-10.74%,-3.75,-2.63%
bb_reversion,trend,1.0,2.0,252,-12.69%,-3.49,-2.43%
bb_reversion,volume,1.5,3.0,252,-17.44%,-2.97,-4.33%
bb_reversion,volume,1.0,2.0,252,-8.72%,-2.20,-2.57%
bb_reversion,rsi_bias,1.5,3.0,252,-13.27%,-2.30,-3.37%
bb_reversion,rsi_bias,1.0,2.0,252,-12.42%,-3.50,-2.57%
bb_reversion,vwap_alignment,1.5,3.0,252,-21.40%,-4.40,-3.50%
bb_reversion,trend+volume,1.5,3.0,252,-21.58%,-3.38,-4.98%
bb_reversion,vwap_alignment,1.0,2.0,252,-5.50%,-1.64,-1.07%
bb_reversion,trend+volume,1.0,2.0,252,-13.42%,-2.86,-2.84%
bb_reversion,trend+rsi_bias,1.5,3.0,251,-17.35%,-3.35,-3.12%
bb_reversion,trend+rsi_bias,1.0,2.0,251,-13.39%,-3.29,-3.03%
bb_reversion,trend+vwap_alignment,1.5,3.0,252,-14.31%,-2.12,-3.06%
bb_reversion,trend+vwap_alignment,1.0,2.0,252,-11.44%,-2.26,-2.28%
bb_reversion,volume+rsi_bias,1.5,3.0,251,-16.52%,-3.10,-4.23%
bb_reversion,volume+rsi_bias,1.0,2.0,252,-17.90%,-5.45,-3.72%
bb_reversion,volume+vwap_alignment,1.5,3.0,252,-21.50%,-3.50,-4.33%
bb_reversion,rsi_bias+vwap_alignment,1.5,3.0,252,-13.76%,-2.60,-2.98%
bb_reversion,volume+vwap_alignment,1.0,2.0,252,-9.69%,-2.30,-1.96%
bb_reversion,rsi_bias+vwap_alignment,1.0,2.0,252,0.81%,0.21,-1.48%
ma_cross,none,1.5,3.0,252,-13.00%,-3.06,-3.24%
ma_cross,none,1.0,2.0,252,-8.37%,-2.29,-3.24%
ma_cross,trend,1.5,3.0,252,-1.92%,-0.29,-2.56%
ma_cross,trend,1.0,2.0,252,-8.28%,-1.84,-3.31%
ma_cross,volume,1.5,3.0,252,-19.87%,-3.80,-4.66%
ma_cross,rsi_bias,1.5,3.0,252,-13.00%,-3.06,-3.24%
ma_cross,volume,1.0,2.0,252,-16.81%,-5.31,-3.70%
ma_cross,rsi_bias,1.0,2.0,252,-8.37%,-2.29,-3.24%
ma_cross,vwap_alignment,1.5,3.0,252,-8.52%,-1.92,-2.61%
ma_cross,trend+volume,1.5,3.0,252,-19.11%,-2.95,-5.18%
ma_cross,trend+volume,1.0,2.0,252,-23.61%,-5.72,-4.91%
ma_cross,vwap_alignment,1.0,2.0,252,-13.54%,-3.92,-2.81%
ma_cross,trend+rsi_bias,1.5,3.0,252,-4.15%,-0.70,-2.56%
ma_cross,trend+rsi_bias,1.0,2.0,252,-8.28%,-1.84,-3.31%
ma_cross,trend+vwap_alignment,1.5,3.0,252,-6.19%,-1.05,-2.63%
ma_cross,volume+rsi_bias,1.5,3.0,252,-19.87%,-3.80,-4.66%
ma_cross,trend+vwap_alignment,1.0,2.0,252,-10.35%,-2.23,-2.76%
ma_cross,volume+rsi_bias,1.0,2.0,252,-16.81%,-5.31,-3.70%
ma_cross,volume+vwap_alignment,1.5,3.0,252,-23.57%,-5.05,-4.49%
ma_cross,rsi_bias+vwap_alignment,1.5,3.0,252,-8.52%,-1.92,-2.61%
ma_cross,volume+vwap_alignment,1.0,2.0,252,-23.14%,-6.75,-4.07%
ma_cross,rsi_bias+vwap_alignment,1.0,2.0,252,-13.54%,-3.92,-2.81%
vwap_cross,none,1.5,3.0,252,-6.69%,-1.71,-2.02%
vwap_cross,none,1.0,2.0,252,-17.95%,-6.77,-3.65%
vwap_cross,trend,1.5,3.0,252,-16.28%,-4.13,-3.71%
vwap_cross,trend,1.0,2.0,252,-12.03%,-3.55,-2.62%
vwap_cross,volume,1.5,3.0,252,-16.56%,-3.94,-4.12%
vwap_cross,rsi_bias,1.5,3.0,252,-11.13%,-2.16,-3.47%
vwap_cross,volume,1.0,2.0,252,-15.17%,-4.21,-3.48%
vwap_cross,rsi_bias,1.0,2.0,252,-15.13%,-4.29,-3.29%
vwap_cross,vwap_alignment,1.5,3.0,252,-6.69%,-1.71,-2.02%
vwap_cross,trend+volume,1.5,3.0,252,-10.90%,-2.60,-2.67%
vwap_cross,vwap_alignment,1.0,2.0,252,-17.95%,-6.77,-3.65%
vwap_cross,trend+volume,1.0,2.0,252,-17.92%,-5.05,-3.70%
vwap_cross,trend+rsi_bias,1.5,3.0,252,-14.55%,-2.57,-4.54%
vwap_cross,trend+rsi_bias,1.0,2.0,252,-19.77%,-4.95,-4.54%
vwap_cross,trend+vwap_alignment,1.5,3.0,252,-16.28%,-4.13,-3.71%
vwap_cross,trend+vwap_alignment,1.0,2.0,252,-12.03%,-3.55,-2.62%
vwap_cross,volume+rsi_bias,1.5,3.0,252,-15.93%,-3.25,-4.85%
vwap_cross,volume+rsi_bias,1.0,2.0,252,-11.57%,-2.91,-3.70%
vwap_cross,volume+vwap_alignment,1.5,3.0,252,-16.56%,-3.94,-4.12%
vwap_cross,volume+vwap_alignment,1.0,2.0,252,-15.17%,-4.21,-3.48%
vwap_cross,rsi_bias+vwap_alignment,1.5,3.0,252,-11.13%,-2.16,-3.47%
stochastic_cross,none,1.5,3.0,252,-11.85%,-2.00,-2.79%
stochastic_cross,none,1.0,2.0,252,-14.79%,-3.73,-2.13%
vwap_cross,rsi_bias+vwap_alignment,1.0,2.0,252,-15.13%,-4.29,-3.29%
stochastic_cross,trend,1.5,3.0,252,-12.31%,-2.01,-3.37%
stochastic_cross,trend,1.0,2.0,252,-11.74%,-2.69,-2.10%
stochastic_cross,volume,1.5,3.0,252,-26.36%,-5.25,-4.96%
stochastic_cross,volume,1.0,2.0,252,-14.60%,-3.34,-2.71%
stochastic_cross,rsi_bias,1.5,3.0,252,-35.00%,-8.47,-7.04%
stochastic_cross,rsi_bias,1.0,2.0,252,-24.08%,-7.34,-4.30%
stochastic_cross,trend+volume,1.5,3.0,252,-25.06%,-4.87,-4.60%
stochastic_cross,vwap_alignment,1.5,3.0,252,-25.95%,-4.07,-5.24%
stochastic_cross,trend+volume,1.0,2.0,252,-16.00%,-3.61,-2.79%
stochastic_cross,vwap_alignment,1.0,2.0,252,-20.86%,-4.76,-3.21%
stochastic_cross,trend+rsi_bias,1.5,3.0,251,-30.85%,-6.73,-6.37%
stochastic_cross,trend+rsi_bias,1.0,2.0,252,-24.65%,-7.68,-4.68%
stochastic_cross,trend+vwap_alignment,1.5,3.0,252,-30.65%,-5.59,-5.40%
stochastic_cross,trend+vwap_alignment,1.0,2.0,252,-17.91%,-4.11,-2.62%
stochastic_cross,volume+rsi_bias,1.5,3.0,205,-25.70%,-6.98,-4.95%
stochastic_cross,volume+rsi_bias,1.0,2.0,205,-28.71%,-11.34,-5.52%
stochastic_cross,volume+vwap_alignment,1.5,3.0,252,-22.04%,-3.96,-5.08%
stochastic_cross,volume+vwap_alignment,1.0,2.0,252,-18.96%,-4.99,-3.90%
stochastic_cross,rsi_bias+vwap_alignment,1.5,3.0,252,-27.87%,-5.74,-6.08%
stochastic_cross,rsi_bias+vwap_alignment,1.0,2.0,252,-27.68%,-9.00,-5.40%
